hanzi,sentence,en,th
发烧,孩子昨天发烧了。,The child had a fever yesterday.,เมื่อวานเด็กมีไข้
发现,我发现了一个问题。,I discovered a problem.,ฉันพบปัญหาอย่างหนึ่ง
方便,坐地铁很方便。,Taking the subway is very convenient.,การนั่งรถไฟฟ้าใต้ดินสะดวกมาก
房卡,请给我房卡。,Please give me the room card.,กรุณาให้บัตรห้องฉันด้วย
放,请把书放在桌子上。,Please put the book on the table.,กรุณาวางหนังสือไว้บนโต๊ะ
放到,请把书放到桌子上。,Please put the book on the table.,กรุณาวางหนังสือไว้บนโต๊ะ
放进去,把钱放进去。,Put the money in.,ใส่เงินเข้าไปข้างใน
放开,请放开我的手。,Please let go of my hand.,กรุณาปล่อยมือฉัน
放心,你放心吧，没问题。,"Don't worry, there's no problem.",คุณวางใจได้ ไม่มีปัญหา
放在,请把书放在桌子上。,Please put the book on the table.,กรุณาวางหนังสือไว้บนโต๊ะ
飞,小鸟飞走了。,The little bird flew away.,นกตัวน้อยบินหนีไปแล้ว
分钱,这个东西才五分钱。,This thing only costs five cents.,ของชิ้นนี้ราคาแค่ห้าเฟิน
风,外面风很大。,The wind is strong outside.,ข้างนอกลมแรงมาก
夫妻,他们是一对夫妻。,They are a married couple.,พวกเขาเป็นสามีภรรยากัน
附近,附近有一个公园。,There's a park nearby.,แถวนี้มีสวนสาธารณะอยู่แห่งหนึ่ง
复习,我在复习汉语。,I'm reviewing Chinese.,ฉันกำลังทบทวนภาษาจีน
该,你该回家了。,You should go home now.,คุณควรกลับบ้านได้แล้ว
该换,这双鞋该换了。,These shoes should be replaced.,รองเท้าคู่นี้ควรเปลี่ยนได้แล้ว
敢,我不敢一个人去。,I don't dare to go alone.,ฉันไม่กล้าไปคนเดียว
感冒,我今天感冒了。,I caught a cold today.,วันนี้ฉันเป็นหวัด
感兴趣,我对汉语感兴趣。,I'm interested in Chinese.,ฉันสนใจภาษาจีน
干干净净,房间打扫得干干净净。,The room was cleaned spotlessly.,ห้องถูกทำความสะอาดจนสะอาดเอี่ยม
干净,房间很干净。,The room is very clean.,ห้องสะอาดมาก
刚,他刚才出门了。,He just went out a moment ago.,เขาเพิ่งออกจากบ้านไปเมื่อสักครู่
刚才,刚才谁在打电话？,Who was calling just now?,เมื่อกี้ใครโทรศัพท์อยู่
高高的,他长得高高的。,He is quite tall.,เขาตัวสูงโปร่ง
歌舞,他们在表演歌舞。,They are performing songs and dances.,พวกเขากำลังแสดงร้องเพลงและเต้นรำ
个子,他的个子很高。,He is tall.,เขาตัวสูงมาก
给我发,请给我发短信。,Please send me a text message.,กรุณาส่งข้อความหาฉันด้วย
根据,根据规定不能抽烟。,"According to the rules, smoking isn't allowed.",ตามกฎแล้วห้ามสูบบุหรี่
跟,我跟他一起去。,I'm going with him.,ฉันไปกับเขาด้วยกัน
更,今天比昨天更热。,Today is even hotter than yesterday.,วันนี้ร้อนกว่าเมื่อวานอีก
更好,这个办法更好。,This method is better.,วิธีนี้ดีกว่า
更是,这个季节更是漂亮。,This season is even more beautiful.,ฤดูนี้สวยงามยิ่งขึ้นไปอีก
公斤,这个包三公斤重。,This bag weighs three kilograms.,กระเป๋าใบนี้หนักสามกิโลกรัม
公园,我们在公园散步。,We're taking a walk in the park.,เราเดินเล่นในสวนสาธารณะ
共有,我们班共有三十人。,Our class has thirty people in total.,ห้องเรียนของเรามีทั้งหมดสามสิบคน
刮,外面刮风了。,It's windy outside.,ข้างนอกลมพัดแล้ว
刮风,外面刮风了。,It's windy outside.,ข้างนอกลมพัดแล้ว
关,请关上窗户。,Please close the window.,กรุณาปิดหน้าต่าง
关灯,睡觉前要关灯。,You should turn off the light before sleeping.,ก่อนนอนต้องปิดไฟ
关上,请把门关上。,Please close the door.,กรุณาปิดประตู
关心,老师很关心学生。,The teacher cares a lot about the students.,ครูเอาใจใส่นักเรียนมาก
关于,这是一本关于中国的书。,This is a book about China.,นี่คือหนังสือเกี่ยวกับประเทศจีน
广州市,他住在广州市。,He lives in Guangzhou.,เขาอาศัยอยู่ในเมืองกว่างโจว
国家,中国是一个大国家。,China is a big country.,จีนเป็นประเทศใหญ่
国家图书馆,我常去国家图书馆看书。,I often go to the national library to read.,ฉันมักไปอ่านหนังสือที่หอสมุดแห่งชาติ
国外,他在国外工作。,He works abroad.,เขาทำงานอยู่ต่างประเทศ
果,考试结果很好。,The exam result was good.,ผลสอบออกมาดีมาก
果汁,我喜欢喝果汁。,I like to drink fruit juice.,ฉันชอบดื่มน้ำผลไม้
过节,我们回家过节。,We go home for the festival.,เรากลับบ้านไปฉลองเทศกาล
过来,你过来看看。,Come over and take a look.,คุณมาดูหน่อยสิ
过去,过去他很瘦。,In the past he was thin.,เมื่อก่อนเขาผอมมาก
过生日,今天我过生日。,Today is my birthday.,วันนี้เป็นวันเกิดของฉัน
还给,我把书还给他了。,I returned the book to him.,ฉันคืนหนังสือให้เขาแล้ว
还好,今天天气还好。,The weather is pretty good today.,วันนี้อากาศก็ยังโอเคอยู่
还是,你还是去医院吧。,You'd better go to the hospital.,คุณไปโรงพยาบาลจะดีกว่า
还要,我还要买一些水果。,I also need to buy some fruit.,ฉันยังต้องซื้อผลไม้อีกหน่อย
还有,桌子上还有苹果。,There are still apples on the table.,บนโต๊ะยังมีแอปเปิลอยู่
害怕,我很害怕小狗。,I'm very afraid of dogs.,ฉันกลัวสุนัขมาก
好不好,我们去公园，好不好？,"Let's go to the park, all right?",เราไปสวนสาธารณะกันดีไหม
好极了,这个主意好极了！,This idea is wonderful!,ความคิดนี้ดีสุดยอดเลย
好几百年,这座城市有好几百年历史。,This city has several hundred years of history.,เมืองนี้มีประวัติศาสตร์หลายร้อยปี
好几个,桌子上有好几个苹果。,There are quite a few apples on the table.,บนโต๊ะมีแอปเปิลอยู่หลายลูก
好了吗,你准备好了吗？,Are you ready yet?,คุณเตรียมพร้อมหรือยัง
好听,这首歌很好听。,This song sounds very nice.,เพลงนี้เพราะมาก
喝杯,我们喝杯茶吧。,Let's have a cup of tea.,เราดื่มชากันสักแก้วเถอะ
喝茶,他喜欢喝茶。,He likes to drink tea.,เขาชอบดื่มชา
喝酒,他不喜欢喝酒。,He doesn't like to drink alcohol.,เขาไม่ชอบดื่มเหล้า
喝咖啡,我早上喜欢喝咖啡。,I like to drink coffee in the morning.,ฉันชอบดื่มกาแฟตอนเช้า
喝牛奶,小孩子每天喝牛奶。,Children drink milk every day.,เด็กๆ ดื่มนมทุกวัน
喝啤酒,他晚上喝啤酒。,He drinks beer in the evening.,เขาดื่มเบียร์ตอนกลางคืน
喝水,多喝水对身体好。,Drinking more water is good for your health.,ดื่มน้ำเยอะๆ ดีต่อสุขภาพ
河,这条河很长。,This river is very long.,แม่น้ำสายนี้ยาวมาก
河边,我们在河边散步。,We take a walk by the river.,เราเดินเล่นริมแม่น้ำ
河里,河里有很多鱼。,There are many fish in the river.,ในแม่น้ำมีปลาเยอะมาก
黑板,老师在黑板上写字。,The teacher writes on the blackboard.,ครูเขียนตัวหนังสือบนกระดานดำ
很矮,那个男孩很矮。,That boy is very short.,เด็กผู้ชายคนนั้นตัวเตี้ยมาก
很大,这个房间很大。,This room is very big.,ห้องนี้ใหญ่มาก
很多,公园里有很多花。,There are many flowers in the park.,ในสวนสาธารณะมีดอกไม้เยอะมาก
很多年,他们认识很多年了。,They've known each other for many years.,พวกเขารู้จักกันมาหลายปีแล้ว
很快,他跑得很快。,He runs very fast.,เขาวิ่งเร็วมาก
很慢,这辆车开得很慢。,This car drives very slowly.,รถคันนี้ขับช้ามาก
很胖,那只猫很胖。,That cat is very fat.,แมวตัวนั้นอ้วนมาก
很漂亮,这条裙子很漂亮。,This skirt is very beautiful.,กระโปรงตัวนี้สวยมาก
很少,他很少迟到。,He is rarely late.,เขาแทบไม่เคยมาสายเลย
很瘦,她最近很瘦。,She's been very thin lately.,ช่วงนี้เธอผอมมาก
很小,这只猫很小。,This cat is very small.,แมวตัวนี้ตัวเล็กมาก
很着急,妈妈很着急。,Mom is very anxious.,แม่กังวลใจมาก
红茶,我喜欢喝红茶。,I like drinking black tea.,ฉันชอบดื่มชาแดง
红酒,这瓶红酒很好喝。,This red wine tastes great.,ไวน์แดงขวดนี้อร่อยมาก
红葡萄酒,他喜欢喝红葡萄酒。,He likes drinking red wine.,เขาชอบดื่มไวน์แดง
后来,后来他去了北京。,Afterwards he went to Beijing.,ต่อมาเขาก็ไปปักกิ่ง
护照,出国要带护照。,You need to bring your passport when going abroad.,เวลาไปต่างประเทศต้องพกหนังสือเดินทาง
花,她买了一束花。,She bought a bunch of flowers.,เธอซื้อดอกไม้มาหนึ่งช่อ
花茶,我喜欢喝花茶。,I like to drink scented tea.,ฉันชอบดื่มชาดอกไม้
花儿,花园里的花儿很美。,The flowers in the garden are beautiful.,ดอกไม้ในสวนสวยงามมาก
花园,我们在花园散步。,We are taking a walk in the garden.,เราเดินเล่นในสวน
花园里,孩子们在花园里玩。,The children are playing in the garden.,เด็กๆ เล่นอยู่ในสวน
化,冰化成了水。,The ice turned into water.,น้ำแข็งละลายกลายเป็นน้ำ
画,弟弟喜欢画画。,My little brother likes to draw.,น้องชายชอบวาดรูป
画儿,墙上挂着一张画儿。,A picture hangs on the wall.,มีภาพวาดแขวนอยู่บนผนัง
画画,我喜欢画画。,I like drawing.,ฉันชอบวาดรูป
坏,我的手机坏了。,My phone is broken.,โทรศัพท์ของฉันเสียแล้ว
环境,这里的环境很好。,The environment here is very good.,สภาพแวดล้อมที่นี่ดีมาก
换,我想换一件衣服。,I want to change my clothes.,ฉันอยากเปลี่ยนเสื้อผ้าสักตัว
黄,这朵花是黄色的。,This flower is yellow.,ดอกไม้ดอกนี้เป็นสีเหลือง
黄河,黄河是中国的大河。,The Yellow River is a great river of China.,แม่น้ำฮวงโหเป็นแม่น้ำสายใหญ่ของจีน
回国,他明年回国。,He is returning to his home country next year.,ปีหน้าเขาจะกลับประเทศ
回家,我六点回家。,I go home at six.,ฉันกลับบ้านตอนหกโมง
会上,老师在会上讲话。,The teacher spoke at the meeting.,ครูพูดในที่ประชุม
会议,明天有一个会议。,There's a meeting tomorrow.,พรุ่งนี้มีการประชุม
会议室,会议室里有很多人。,There are many people in the meeting room.,ในห้องประชุมมีคนเยอะมาก
火,厨房里着火了。,There's a fire in the kitchen.,ในครัวไฟไหม้
火车票,我买了一张火车票。,I bought a train ticket.,ฉันซื้อตั๋วรถไฟมาหนึ่งใบ
或者,你可以喝茶或者喝咖啡。,You can drink tea or coffee.,คุณจะดื่มชาหรือดื่มกาแฟก็ได้
机会,这是个好机会。,This is a good opportunity.,นี่เป็นโอกาสที่ดี
机票,我买了机票。,I bought a plane ticket.,ฉันซื้อตั๋วเครื่องบินแล้ว
鸡肉,我喜欢吃鸡肉。,I like eating chicken.,ฉันชอบกินเนื้อไก่
级,他是三年级学生。,He is a third-grade student.,เขาเป็นนักเรียนชั้นปีที่สาม
极了,这个蛋糕好吃极了。,This cake is extremely delicious.,เค้กชิ้นนี้อร่อยสุดๆ
几本书,我买了几本书。,I bought a few books.,ฉันซื้อหนังสือมาหลายเล่ม
几点,现在几点了？,What time is it now?,ตอนนี้กี่โมงแล้ว
几个,桌子上有几个苹果。,There are a few apples on the table.,บนโต๊ะมีแอปเปิลอยู่สองสามลูก
几乎,我几乎忘了他的名字。,I almost forgot his name.,ฉันเกือบลืมชื่อของเขาไปแล้ว
几年,我住了几年了。,I've lived here for a few years.,ฉันอาศัยอยู่ที่นี่มาหลายปีแล้ว
几千年,这座城有几千年历史。,This city has a history of several thousand years.,เมืองนี้มีประวัติศาสตร์นับพันปี
几天,我要在这儿住几天。,I'm going to stay here for a few days.,ฉันจะพักที่นี่สักสองสามวัน
己,他对自己没信心。,He has no confidence in himself.,เขาไม่มั่นใจในตัวเอง
记,请记住我的电话号码。,Please remember my phone number.,กรุณาจำเบอร์โทรศัพท์ของฉันไว้
记错,我记错时间了。,I got the time wrong.,ฉันจำเวลาผิด
记住,请记住我的话。,Please remember what I said.,กรุณาจำคำพูดของฉันไว้
季,一年有四季。,There are four seasons in a year.,หนึ่งปีมีสี่ฤดู
季节,春天是我喜欢的季节。,Spring is my favorite season.,ฤดูใบไม้ผลิเป็นฤดูที่ฉันชอบ
间,房间很干净。,The room is very clean.,ห้องสะอาดมาก
检查,医生给我检查身体。,The doctor examined my body.,หมอตรวจร่างกายให้ฉัน
检查一下,让医生检查一下吧。,Let the doctor check it out.,ให้หมอตรวจดูหน่อยเถอะ
简单,这道题很简单。,This problem is simple.,โจทย์นี้ง่ายมาก
见面,我们明天见面吧。,Let's meet tomorrow.,พรุ่งนี้เราเจอกันนะ
健康,运动对健康很好。,Exercise is good for health.,การออกกำลังกายดีต่อสุขภาพ
讲,老师讲得很清楚。,The teacher explains very clearly.,ครูอธิบายได้ชัดเจนมาก
讲讲,你给我们讲讲吧。,Please tell us a little about it.,เล่าให้พวกเราฟังหน่อยสิ
角,桌子有四个角。,The table has four corners.,โต๊ะมีสี่มุม
脚,我的脚有点疼。,My foot hurts a little.,เท้าของฉันเจ็บนิดหน่อย
脚下,小狗在我脚下睡觉。,The puppy is sleeping at my feet.,ลูกสุนัขนอนอยู่ที่เท้าของฉัน
叫声,我听到狗的叫声。,I heard the dog's bark.,ฉันได้ยินเสียงหมาเห่า
较,这个比较贵。,This one is relatively expensive.,อันนี้ค่อนข้างแพง
教,他信什么教？,What religion does he believe in?,เขานับถือศาสนาอะไร
接,妈妈去机场接我。,Mom is going to the airport to pick me up.,แม่ไปรับฉันที่สนามบิน
接到,我接到了一个电话。,I received a phone call.,ฉันได้รับโทรศัพท์สายหนึ่ง
接着,他接着讲故事。,He continued telling the story.,เขาเล่าเรื่องต่อไป
街,这条街很热闹。,This street is very lively.,ถนนสายนี้คึกคักมาก
街道,这条街道很热闹。,This street is very lively.,ถนนสายนี้คึกคักมาก
街上,街上有很多人。,There are many people on the street.,บนถนนมีคนเยอะมาก
节目,这个节目很有意思。,This program is very interesting.,รายการนี้น่าสนใจมาก
节目单,请给我一张节目单。,Please give me a program list.,กรุณาให้ใบรายการฉันหนึ่งใบ
节日,春节是中国重要的节日。,Spring Festival is an important Chinese holiday.,ตรุษจีนเป็นเทศกาลสำคัญของจีน
结婚,他们打算明年结婚。,They plan to get married next year.,พวกเขาวางแผนจะแต่งงานกันปีหน้า
结束,比赛已经结束了。,The match has already ended.,การแข่งขันจบลงแล้ว
姐弟,他们是姐弟。,They are older sister and younger brother.,พวกเขาเป็นพี่สาวกับน้องชาย
解,他解开了绳子。,He untied the rope.,เขาแก้เชือกออก
解决,这个问题很难解决。,This problem is hard to solve.,ปัญหานี้แก้ไขได้ยากมาก
解决问题,我们一起解决问题。,Let's solve the problem together.,เรามาแก้ปัญหาด้วยกัน
借,我想跟你借点钱。,I want to borrow some money from you.,ฉันอยากขอยืมเงินคุณสักหน่อย
借给,我把书借给他了。,I lent the book to him.,ฉันให้เขายืมหนังสือไปแล้ว
借回来,他把书借回来了。,He borrowed the book back.,เขายืมหนังสือกลับมาแล้ว
今,从今以后我要努力学习。,"From now on, I will study hard.",ตั้งแต่นี้ไปฉันจะตั้งใจเรียนให้หนัก
今晚,今晚我们一起吃饭。,Let's have dinner together tonight.,คืนนี้เรากินข้าวด้วยกัน
进水,我的鞋子进水了。,My shoes got water in them.,รองเท้าของฉันมีน้ำเข้า
经,我们经过公园。,We pass by the park.,เราเดินผ่านสวนสาธารณะ
经常,他经常迟到。,He is often late.,เขามาสายบ่อยๆ
经过,我每天经过这个公园。,I pass by this park every day.,ฉันเดินผ่านสวนสาธารณะแห่งนี้ทุกวัน
经理,他是我们的经理。,He is our manager.,เขาเป็นผู้จัดการของเรา
久,我等了很久。,I waited for a long time.,ฉันรอมานานมากแล้ว
久远,这段历史很久远。,This history goes back a very long way.,ประวัติศาสตร์ช่วงนี้ผ่านมานานมากแล้ว
酒,他不喜欢喝酒。,He doesn't like drinking alcohol.,เขาไม่ชอบดื่มเหล้า
旧,这件衣服很旧。,This piece of clothing is old.,เสื้อผ้าตัวนี้เก่ามากแล้ว
就让,就让他去吧。,Just let him go.,ปล่อยให้เขาไปเถอะ
就是,这就是我要的答案。,This is exactly the answer I want.,นี่แหละคือคำตอบที่ฉันต้องการ
就要,火车就要到了。,The train will arrive soon.,รถไฟกำลังจะมาถึงแล้ว
举行,学校明天举行比赛。,The school will hold a competition tomorrow.,พรุ่งนี้โรงเรียนจะจัดการแข่งขัน
句,请再说一句。,Please say one more sentence.,กรุณาพูดอีกสักประโยค
句子,这个句子很简单。,This sentence is very simple.,ประโยคนี้ง่ายมาก
决定,我决定去中国。,I've decided to go to China.,ฉันตัดสินใจจะไปจีน
开班,学校开班教汉语。,The school started a class to teach Chinese.,โรงเรียนเปิดชั้นเรียนสอนภาษาจีน
